Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??/T? khóa,Thông tin xu?t b?n,Barcode
Economic development in the third world / Michael P. Todaro,Kinh t? phát tri?n ? th? gi?i th? 3,Todaro Michael P., ,"Economics;""Chính sách"";""development"";""các n??c ?ang phát tri?n"";""Th? gi?i th? 3"";""The third world"";""Policy"";""Kinh t?"";""Economic"";""Developing countries"";""Phát tri?n""","London : Longman press, 1977",NV06976
Comparative economic systems / Martin C. Schnitzer,So sánh nh?ng h? th?ng kinh t?,Schnitzer Martin C., ,"Economics;""Comparative"";""so sánh"";""H? th?ng kinh t?"";""Economic system""","New York : Houghton Mifflin Company, 1994",NV02135
Retailing / J. Barry Mason,Bán l?,"Mason, J. Barry",Morris L Mayer,"Marketing;""Buôn bán l?"";""Retailing""","USA. : Irwin, 1981",NV03619
Economics of development / Malcolm Giblis,Kinh t? phát tri?n,Giblis Malcolm,Dwight H. Perkins,"Economics;""Kinh t? phát tri?n"";""Economic development"";""Developing countries"";""Các n??c ?ang phát tri?n""","New York : W.W Norton & Company, 1987",NV01893
Game theory in the social sciences: Concepts and solutions / Martin Shubik,Lý thuy?t mánh khoé trong khoa h?c xã h?i,"Shubik, Martin", ,"Educational culture;""Khoa h?c xã h?i"";""Mathematic model"";""Mô hình toán"";""Social science"";""Theory"";""Lý thuy?t""","New York : MIT Publication, 1991",NV01898
Ration Expectations & Econometric pratice / Robert E. Lucas,Nh?ng d? tính h?p lý và th?c ti?n kinh t? l??ng,Lucas Robert E.,"Thomas, Sargent L","Economics;""D? ?oán"";""Mô hình toán"";""Mathematic model"";""Kinh t? l??ng"";""Economic policy"";""Econometric"";""Chính sách kinh t?"";""Fdedict""","New York : University of Minesota Press, 1981","NV01897;""NV01964"""
Study guide for principles of macroeconomics / Edwin Mansfield,H??ng d?n nghiên c?u nh?ng nguyên t?c c?a kinh t? v? mô,Mansfield Edwin, ,"Economics;""Kinh t? v? mô"";""Principle"";""Nguyên lý"";""Macroeconomic""","New York : W.W Norton & Company, 1989",NV01896
Macroeconomics: The dynamics of theory & policy / William J. Boyes,Kinh t? v? mô Lý thuy?t và chính sách ??ng l?c h?c,Boyes William J., ,"Economics;""Chính sách"";""??ng l?c h?c"";""Theory"";""Policy"";""Macroeconomic"";""Kinh t? v? mô"";""Dynamic"";""Lý thuy?t""","New York : South Western Publishing Co, 1984",NV01892
"Macroeconomics: Problems, concepts & self-tests / Harold R.Williams",Kinh t? v? mô Nh?ng v?n ?? Khái ni?m và t? ki?m tra,Williams Harold R., ,"Economics;""Macroeconomic"";""Kinh t? v? mô""","New York : W.W. Norton & Company Inc, 1978",NV01901
Microeconomics / Paul Heyne,Kinh t? vi mô,Heyne Paul, ,"Economics;""Microeconomic"";""Kinh t? vi mô""","New York : W.W. Norton, 1975",NV02238
Macroeconomics / Robert J. Barro,Kinh t? hoc v? mô,Barro Robert J., ,"Economics;""International economic"";""Th? tr??ng lao ??ng"";""Macroeconomics"";""L?m phát"";""Labor market"";""Kinh t? h?c v? mô"";""Inflation"";""Kinh t? qu?c t?""","New York : John Wiley & Sons, 1984",NV01913
Economics - Australian edition / Paul A. Samuelson,Kinh t? h?c - Australia ch?u trách nhi?m XB Nh?p môn phân tích,Samuelson Paul A.,Hancock Keith,"Economics;""Analysic"";""Phân tích"";""Economic"";""Kinh t?""","USA. : Mc Graw - Hill Book Campany, 1967",NV06992
Economics priciples and Policy / William J. Baumol,Nh?ng nguyên lý kinh t? h?c và chính sách kinh t? v? mô,Baumol William J.,Blinder S. Alan,"Economics;""Economic"";""Principle"";""Policy"";""Nguyên lý"";""Microeconomic"";""Kinh t?"";""Chính sách"";""Kinh t? vi mô""","USA. : Harcourt Brace Joranovich Inc, 1988",NV01970
Uncertainty in economics Readings & exercises / Peter Diamond,Tính b?t ?n trong kinh t? Tham kh?o và th?c hành,Diamond Peter,Michael Rothschild,"Economics;""Economic"";""Uncertainty"";""Toán kinh t?"";""Mathematical economic"";""Kinh t?"";""H?n ch? thông tin"";""B?t ?n"";""Limited information""","USA. : Academic press Inc, 1989","NV01958;""NV01968"""
Understanding intergovernmental relations / S.Wright Deil,S? hi?u bi?t l?n nhau trong quan h? chính sách chung c?a các t? ch?c phi chính ph? và tri?n v?ng tham gia ? ??a ph??ng nhà n??c và C Ph?,Deil S. Wright, ,"Social political;""Fiscal relation"";""Intergovernment"";""Public policy"";""Quan h? tài chính"";""Chính sách nhà n??c""","USA. : Duxbury Press, 1978",NV01960
Retreat of the Dodo / G. O. Gutman,S? s?ng ?n c?a Dodo (1 loài chim c?u (b? câu)),"Gutman, G. O.", ,"Economics;""Chim c?u"";""Dodo"";""B? câu""","Au. : Brian clouston, 1982",NV01966
Research methods for public administrators / Elizabethann O'sullivan,Nghiên c?u nh?ng ph??ng pháp cho qu?n tr? công c?ng,O'sullivan Elizabethann,Gary R.Rassel,"Social political;""Administration"";""Qu?n tr?"";""Qu?n tr? công c?ng"";""Public administration""","USA. : Longman, 1989",NV01963
"Macroeconomic: Concepts, Theories and policies / Thomas F.Dernburg",Kinh t? v? mô Khái ni?m H?c thuy?t và chính sách,"Dernburg, Thomas F.", ,"Economics;""Kinh t? v? mô"";""Macroeconomic""","New York : Mc Graw-hill book company, 1985",NV01917
"Macroeconomics : Theory, performance & Policy / Robert E. Hall", ,Hall Robert E.,John B.Taylor,"Economics;""Kinh t? v? mô"";""Th?c hi?n"";""Theory"";""Policy"";""Macroeconomic"";""Lý thuy?t"";""Chính sách"";""Performance""","New York : W.W. Norton & Company, 1986",NV01924
Macroeconomics / Robert J. Gordon,Kinh t? v? mô,"Gordon, Robert J.", ,"Economics;""Macroeconomic"";""Kinh t? v? mô""","New York : Harper-Collin Publishers, 1990","NV01923;""NV06980"""
Foundation of economic analysis / Paul A.Samuelson,C? s? phân tích kinh t?,Samuelson Paul A., ,"Economics;""Phân tích kinh t?"";""Economic analysis""","USA. : Harvard University Press, 1947",NV01954
The economic way of thinking / Paul Heyne,H??ng t? duy kinh t?,Heyne Paul, ,"Economics;""Thinking"";""T? duy kinh t?"";""Economic""","USA. : Macmillan College Publishing company, 1994",NV02099
Assembling for development: The Maquila industry in Mexico and United States / Leslie Sklair,H?i t? c?a phát tri?n,Sklair Leslie, ,"Tourist Hotel;""Assembling"";""H?i t?"";""Phát tri?n"";""Development""","USA. : Unwin Hyman Inc, 1989",NV01953
Comparative economic systems / David W. Couklin,Nh?ng h? th?ng so sánh kinh t?,Couklin David W., ,"Economics;""Camparaive economic"";""so sánh kinh t?"";""Kinh t?"";""Economic""","USA. : Cambridge University Press, 1991",NV01949
Economics & the public interest / Richard T. Gill,Kinh t? và l?i ích công,Gill Richard T., ,"Economics;""Kinh t? h?c"";""Public interest"";""L?i ích công"";""Economics""","USA. : Goodyear publishing Company, 1968",NV06822
Macroeconomics: Theories and Policies / Froyen T. Richard,Kinh t? v? mô Lý thuy?t và chính sách,"Richard, Froyen T.", ,"Economics;""Macroeconomic"";""chính sách"";""Policy"";""Kinh t? v? mô""","USA. : Macmillan Publishing company, 1985",NV06999
Teaching economic & Business / Stein Hodkinson,Gi?ng d?y kinh t? và kinh doanh,Hodkinson Stein,Jephate Martin,"Economics;""Business"";""Kinh t?"";""Economic"";""Kinh doanh""","E. : Heinemann, 1996",NV01944
"Teaching public policy: Theory, research & Pratice / J.Bergerson Peter",Gi?ng d?y chính sách công Lý thuy?t Nghiên c?u và th?c hành,J.Bergerson Peter, ,"Social political;""Public policy"";""chính sách công""","USA. : Greenwood press, 1991",NV01945
Organizational change & development / Gene W. Dalton,Thay ??i t? ch?c và s? phát tri?n,Dalton Gene W.,Lawrence R Paul,"Economics;""Phát tri?n"";""development"";""Organization"";""T? ch?c""","USA. : Richard D Irwin Inc, 1970",NV07000
Setting national priorities : The next ten years / Henry Owen, ,Owen Henry,Schultre L Charles,"Educational culture;""priority"";""qu?c gia"";""?u tiên"";""Natonal""","USA. : The Bookings Institution, 1976",NV01941
Opportunity & response: Case studies in economic development / T. Scarbertt Epstein,C? h?i và s? ?áp l?i (tr??ng h?p nghiên c?u trong phát tri?n kinh t?),Epstein T. Scarbertt, ,"Economics;""Economic"";""Oppotunity"";""Kinh t?"";""C? h?i""","E. : C.Hurst & company, 1972",NV06998
Making public policy / Larry N. Gerston,Ra chính sách công T? mâu thu?n t?i gi?i quy?t,Gerston Larry N., ,"Social political;""Making public policy"";""Science"";""Chính sách công"";""Khoa h?c""","USA. : Scott, Foresman & Company, 1983",NV06996
Public policy: Scope and logic / Fred M. Frohock,Chính sách công Logic h?c và ph?m vi,Fred M. Frohock, ,"Educational culture;""Logic"";""Public policy"";""Chính sách công""","New York : Prentice - Hall Inc, 1979",NV01920
Designing public policy: A casebook on the Role of policy analysis / Laurence E. Lynn,Phác ho? chính sách công Vai trò c?a phân tích chính sách,"Lynn, Laurence E.", ,"Educational culture;""Public policy"";""Chính sách công""","New York : Goodyear publishing compay Inc, 1980",NV01921
Critical issues in public personnel policy / Ronald D. Sylvia,Nh?ng v?n ?? có tính nguy c?p trong chính sách công v? nhân s?,Ronald D. Sylvia, ,"Social political;""Nhân s?"";""Personnel"";""Public policy"";""Chính sách công""","New York : Brook Cole publishing company, 1989",NV01922
Applied economics: Readings for Australian students / Keith Hancock,Kinh t? ?ng d?ng Bài ??c dành cho sinh viên Australia,"Hancock, Keith",Hughes Barry,"Economics;""Applied economic"";""Kinh t? ?ng d?ng"";""Sinh viên"";""Student"";""Australia""","Au. : Mc Graw - Hill Book Company, 1972",NV06986
A course in applied economics / E. H. Phelps Brown,Ti?n trình trong kinh t? h?c ?ng d?ng,"Brown, E. H. Phelps",J. Wiseman,"Economics;""Applied economic"";""Kinh t? h?c ?ng d?ng""","London : Sir ISAAC Priman & Sons Ltd, 1964","NV06861;""NV06862"""
Macroeconomics / Robert J. Gordon,Kinh t? h?c v? mô,"Gordon, Robert J.", ,"Economics;""Kinh t? v? mô"";""Macroeconomics""","New York : Little Brown & Company Ltd, 1984",NV01919
Commodity Trade: Test case for a new economic order. Vol. 3,Hàng hoá th??ng m?i Tr??ng h?p tiêu bi?u cho m?t tr?t t? kinh t? m?i,J. G. Crawford, ,"Commerce;""Commodity"";""Hàng hoá"";""Th??ng m?i"";""Trade"";""Tr?t t? kinh t?"";""Economic order""","Canada : The North-South Institute, 1978",NV02162
A game - theoretic : Approach to political economy / Martin Shubik,Lý thuy?t mánh l?i Nh?p môn kinh t? chính tr?,"Shubik, Martin", ,"Educational culture;""Lý thuy?t mánh l?i"";""Kinh t? chính tr?"";""Political economy"";""Game theory""","E. : The MIT Press, 1991",NV02031
Politics & the stages of growth / W. W. Rostow,Chính tr? và giai ?o?n phát tri?n,Rostow W. W., ,"Social political;""Chính tr?"";""Politics"";""T?ng tr??ng"";""Growth""","Cambridge : Cambridge at the university press, 1971",NV02316
Managing people in public agencies / Jonathan Brock,Qu?n lý nhân s? ? c? quan Nhà n??c,Brock Jonathan, ,"Social political;""Managing people"";""Qu?n lý nhân s?""","USA. : Little Brown & Company, 1984",NV01962
Macroeconomics & capital theory / David Cass,Kinh t? v? mô và Lý thuy?t v?n,Cass David,Mc Kenzie Lionel,"Economics;""Capital"";""v?n"";""theory"";""T?ng tr??ng"";""Trade"";""Th??ng m?i"";""Macroeconomic"";""Lý thuy?t"";""Kinh t? v? mô"";""Income"";""Growth"";""Thu nh?p""","E. : M.I.T press, 1974",NV01996
The economy of nature / Robert E. Richleys,N?n kinh t? t? nhiên,"Richleys, Robert E.", ,"Natural Sciences and Technology;""Economy"";""Kinh t?"";""nature"";""stability"";""t? nhiên"";""?n ??nh dân chúng"";""Community""","Portland. : Chiron Press, 1976",NV01991
Strategy formulation & Implementation / Thompson A. Arthur,H? th?ng hoá chi?n l??c và th?c thi,Arthur Thompson A.,J. A. Strickland,"Business Administration;""Chi?n l??c"";""Strategy formulation"";""Strategy"";""H? th?ng hoá chi?n l??c""","USA. : Business Publications Inc, 1983",NV01972
One world one future: New international strategies for development / Ashok Bapna,M?t th? gi?i m?t t??ng lai Chi?n l??c qu?c t? m?i cho s? phát tri?n,Bapna Ashok, ,"Economics;""policy"";""kinh t?"";""T??ng lai th? gi?i"";""International strategy"";""Chi?n l??c qu?c t?"";""Chính sách"";""Economic""","USA. : Praeger press, 1985",NV01985
Human resource management in the hospitality industry / M. J. Boella,Qu?n lý ngu?n nhân l?c trong công nghi?p,Boella M. J., ,"Natural Sciences and Technology;""Công nghi?p"";""Qu?n lý ngu?n nhân l?c"";""industry"";""Human Resource management""","E. : Stanley Thorner Ltd, 1992",NV01772
Green economics / David Burningham,Nh?ng n?n kinh t? xanh,"Burningham, David",David John,"Real Estate;""Qu?n lý kinh t? UK"";""Kinh t? h?c"";""Economics"";""UK Economy""","E. : Heinemann, 1995","NV01770;""NV06988"""
Equity and efficiency / Margaret Wilkinson,Công b?ng và hi?u qu?,Wilkinson Margaret, ,"Economics;""Equity"";""UK economy"";""Efficiency""","E. : Heinemann Educational, 1993","NV01749;""NV01750"""
"Chaos, management and economics: The implications of non- linear thingking / David Parker", ,"Parker, David",Ralph Stacey,"Business Administration;""Economics"";""Managament"";""Qu?n lý"";""Kinh t? h?c""","London : Institute of Economic affairs, 1995",NV02103
Metropolitan management: The Asian expirience / Sivaramakrishnan K. C., ,"Sivaramakrishnan, K. C.",Leslie Green,"Educational culture;""Metropolitan management"";""Qu?n lý ?ô th?"";""Châu á"";""Asian""","Washington : Oxford university press, 1986",NV02100
Understanding Customers / Rosemary Phipps,Hi?u bi?t v? khách hàng,Phipps Rosemary,Craig Simmons,"Marketing;""Customers"";""Khách hàng"";""Marketing"";""Understanding customers"";""Hi?u bi?t khách hàng""","E. : Butterworth Heinemann, 1995",NV01777
The Global region: Production State Policies and Uneven development / David Sadler, ,Sadler David, ,"Economics;""Uneven development"";""State policies"";""Kinh t? toàn c?u"";""Phát tri?n không ??ng ??u."";""Global region""","E. : Pergamon Press, 1992","NV01764;""NV01810"""
Micro economy-wide models for migration and policy analysis: an application to rural Mexico / Edward J. Taylor, ,Taylor Edward J., ,"Educational culture;""Di dân"";""Mexico"";""Micro economy"";""Migration"";""Model"";""Mô hình"";""Kinh t? vi mô""","F. : Development centre of the organisation, 1995",NV09490
Socialist planning / Michael Ellman, ,Ellman Michael, ,"Political Economics;""Ch? ngh?a xã h?i"";""Economic policy"";""Ho?ch ??nh kinh t?"";""Socialist"";""Comparative economics""","E. : Cambridge University, 1979",NV01761
Pre-capitalist modes of production / Barry Hindess, ,Barry Hindess,Hirst Q. Paul,"Political Economics;""Ch? ngh?a T? b?n."";""Ph??ng th?c s?n xu?t"";""Pre-capitalist"";""Modes of production""","E. : Routledge & Kegan Paul, 1975",NV01763
Rules and choice in ecnomics / Viktor J. Vanberg, ,"Vanberg, Viktor J.", ,"Economics;""Nguyên t?c kinh t?"";""Rules economics"";""Constitution choice""","E. : Routledge, 1994",NV01762
Appraising foreign investment in developing countries / Deepak Lal,?ánh giá ??u t? n??c ngoài ? các n??c ?ang phát tri?n,Lal Deepak, ,"Finance and Banking;""Developing countries"";""??u t? n??c ngoài"";""Foreign investment"";""Các n??c ?ang phát tri?n""","E. : Heinemann London, 1975",NV01758
Growth of a 'New Town' and its people / James Hayes,Tsuen Wan - S? l?n m?nh c?a m?t thành ph? m?i và dân chúng ? ?ó,"Hayes, James", ,"Educational culture;""Dân c? New Town"";""New Town people"";""Tsuen Wan (Hongkong)"";""T?ng tr??ng"";""Growth""","USA. : Hong Kong Oxford University, 1993",NV01756
Technological capability in the third world / Martin Fransman, ,Fransman Martin,Kenath King,"Tourist Hotel;""Công ngh?"";""Therd world"";""Th? gi?i th? ba"";""Technological""","London : Macmillan, 1984",NV02180
Economics now / Colin Isaac,Kinh t? h?c Ngày nay,Isaac Colin, ,"Economics;""Kinh t? h?c"";""Economics""","E. : Stanley Thornes, 1986",NV01754
The Politics of International Economic relations / Joan Edelman Spero,Các nguyên t?c chính tr? trong m?i quan h? kinh t? qu?c t?,Spero Joan Edelman, ,"Economics;""Chính tr?"";""Politics"";""Kinh t? qu?c t?"";""International Economic""","USA. : St. Martin's Press, 1977","NV06941;""NV06997"""
Political Economy / Oskar Lange,Kinh t? chính tr?,"Lange, Oskar",Stadler(Translated) J.,"Economics;""Kinh t? chính tr?"";""Political Economy""","USA. : Pergamon Press, 1971",NV07009
European Economic intergration: A Nordic perspective / Jan Fagerberg, ,Fagerberg Jan,"Lars, Lundberg","Economics;""European Economic"";""Liên k?t kinh t?"";""Economics integration"";""Kinh t? châu âu""","E. : Avebury, 1993",NV01759
Economics / Roger N.Waud, ,Waud Roger N., ,"Economics;""Economics"";""Kinh t? h?c""","Philadenphia : Harper & Row, publishers, Inc, 1989",NV02098
The Politics of quality in the public sector: The Management of change / Ian Kikpatrick,Nguyên t?c chính tr? ? khu v?c công (Qu?n lý s? thay ??i),Ian Kikpatrick,Miguel Martinez Lucio,"Social political;""Kinh t? chính tr?"";""Kinh t? công c?ng."";""Politics economic"";""Public economic"";""ch?t l??ng cao"";""High quality""","E. : Routledge, 1995",NV07043
Mass migration in Europe: The Legacy and the future / Russell King,Di c? hàng lo?t ? Châu Âu (K? th?a và t??ng lai),King Russell, ,"Social political;""Europe"";""K? th?a"";""Legacy"";""Châu âu""","E. : John Wiley & Sons, 1995",NV01806
Managing Purchasing: Sourcing and contracting / Andrew Erridge,Qu?n lý mua (Ngu?n thông tin và th?c hi?n h?p ??ng),"Erridge, Andrew", ,"Business Administration;""H?p ??ng"";""Managing Purchasing"";""Qu?n lý mua hàng"";""Contracs""","E. : Butterworth Heinemann, 1995",NV01805
Africa's commodity problems: towards a solution / United Nations, ,United Nations, ,"Economics;""Africa"";""Solution"";""commodity"";""hàng hoá"";""Châu phi""","USA. : United National, 1988","NV07062;""NV07064"""
Change for the better:Global Change and Economic Development / Arthur Brown, ,"Brown, Arthur", ,"Economics;""Global change"";""Hi?u qu?"";""bi?n ??i toàn c?u"";""kinh t? phát tri?n"";""Economic Development""","E. : Common wealth secretariat, 1991","NV01801;""NV07039"""
Effective Demand and Income Distribution Issues in Alternative Economic Theory / Marc Jarsulic,Hi?u qu? và phân ph?i thu nh?p (V?n ?? l?a ch?n c?a lý thuy?t kinh t?),"Jarsulic, Marc", ,"Economics;""Distribution"";""theory"";""Thu nh?p"";""Phân ph?i"";""Hi?u qu?"";""Effective"";""Income""","E. : Policy Press, 1988",NV01800
Teaching Economics & Business / Steve Hodkinson,Nh?ng bài gi?ng Kinh t? h?c và Kinh doanh,"Hodkinson, Steve",Jephcote Martin,"Economics;""Economics"";""Qu?n tr? h?c"";""Kinh t? h?c"";""Business""","USA. : Heinemann, 1996",NV01796
East -Central Europe in transition. From the fourteenth to the seventeenth century / Antoni Maczak,Quá ?? ? ?ông và Trung âu (T? th? k? 14 ??n th? k? 17),"Maczak, Antoni","Burke Peter;""Samsonowicz Henryk""","Educational culture;""Th?i k? quá ??"";""14-17 century""","E. : Maison des Science de l'homme, 1985",NV01789
World Economic survey 1992 Current Trends and Policies in the World Economy / Department of economic and social development,T?ng quát kinh t? th? gi?i n?m 1992 (Khuynh h??ng hi?n nay và nh?ng chính sách c?a n?n kinh t? th? gi?i),Department of economic and social development, ,"Educational culture;""Chính sách"";""International economic"";""Kinh t? qu?c t?"";""Policy"";""1992""","USA. : United Nation, 1992",NV06804
History of the 1992 Economic Census,L?ch s? ?i?u tra dân s? kinh t? n?m 1992, ,Economics & Statistics Administration,"Economics;""1992"";""Kinh t?"";""Economic""","USA. : U.S. Government Printing office, 1996",NV01813
Economics as literature / Willie Henderson, ,"Henderson, Willie", ,"Educational culture;""Economics"";""Literature"";""V?n h?c"";""Kinh t? h?c""","E. : Routledge, 1995",NV01791
