Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??,Thông tin xu?t b?n,Barcode
Tri?n v?ng kinh t? Nh?t B?n trong th?p niên ??u th? k? 21 / D??ng Phú Hi?p, ,"D??ng, Phú Hi?p", ,"Kinh t? Nh?t B?n;""D? báo kinh t?"";""Nh?t B?n"";""Kinh t? th? gi?i""","Hà N?i : Khoa h?c xã h?i, 2001",Vc 34917/92
M?t s? chuyên ?? v? phong trào c?ng s?n và công nhân qu?c t?, , , ,"Chính tr? n??c ngoài;""Phong trào c?ng s?n qu?c t?"";""Phong trào công nhân qu?c t?""","Hà N?i : Giáo khoa Mác Lê Nin, 1985",Vc 6793/I
"V?n ki?n ??ng toàn t?p ,t?p 17 (1956). 17", ,??ng C?ng S?n Vi?t Nam, ,"Vi?t Nam;""1956"";""V?n ki?n ??ng"";""Chính tr? xã h?i"";""??ng CS Vi?t Nam""","Hà N?i : Chính tr? qu?c gia, 2002","Vb 4931/92;""Vb 4932/92"";""Vb 4933/92"";""Vb 4934/92"";""Vb 4930/92"""
Vi?t Nam trong th? k? 20. T?p 1, , , ,"Công cu?c ??i m?i;""Chính tr? xã h?i"";""Vi?t Nam"";""Vi?t Nam th? k? 20""","Hà N?i : Chính tr? qu?c gia, 2001","VV00006082;""VV00006081"";""VV00006080"";""VV00006079"";""VV00006078"""
Vi?t Nam trong th? k? 20. T?p 2, , , ,"Vi?t Nam;""Chính tr? xã h?i"";""Công cu?c ??i m?i"";""Vi?t Nam th? k? 20""","Hà N?i : Chính tr? qu?c gia, 2002","VV00006077;""VV00006076"";""VV00006075"";""VV00006074"";""VV00006073"";""VV00006072"""
N?n kinh t? m?i, , , ,"Kinh t? th? gi?i;""N?n kinh t? m?i""","Hà N?i : Chính tr? qu?c gia, 2001","Vb 4987/92;""Vb 4988/92"";""Vb 4989/92"""
Khoa h?c công ngh? và phát tri?n kinh t? t?p h?p c?a m?i tri th?c / Y Michaud, ,Y Michaud,"Nguy?n, V?n Trung","Phát tri?n kinh t?;""Khoa h?c công ngh?"";""Qu?n lý kinh t?"";""Tri th?c""","Hà N?i : Chính tr? qu?c gia, 2002","Vb 5104/92;""Vb 5105/92"";""Vb 5117/92"";""Vb 5118/92"";""Vb 5119/92"""
T? ?i?n kinh t? kinh doanh Anh Vi?t (có gi?i thích) / Nguy?n ??c Dy,English Vietnamese Dictionary of Economics and business with Explanation,"Nguy?n, ??c Dy","Nguy?n, Ng?c Bích","T? ?i?n kinh t? kinh doanh;""Ngôn ng?"";""T? ?i?n Anh Vi?t""","Hà N?i : Khoa h?c k? thu?t, 2000","Vb 5187/92;""Vb 5188/92"""
T? ?i?n kinh t? và th??ng m?i Trung-Vi?t-Anh,Dictionary of Economics and Commerce Chinese-Vietnamese-English, , ,"t? ?i?n Trung Vi?t Anh;""T? ?i?n th??ng m?i"";""T? ?i?n kinh t?"";""Ngôn ng?""","Hà N?i : Khoa h?c k? thu?t, 2001","Vb 5191/92;""Vb 5194/92"""
T? ?i?n kinh t? tài chính-k? toán Anh-Pháp-Vi?t / V? H?u T?u,English-French-Vietnamese Dictionary of Economics-Finance-Accounting,"V?, H?u T?u","Ph?m, Ng?c Anh","K? toán;""Ngôn ng?"";""Kinh t?"";""Tài chính"";""T? ?i?n Anh Pháp Vi?t""","Hà N?i : Khoa h?c k? thu?t, 2001",Vb 5197/92
Bách khoa tri th?c h?c sinh, , , ,"Bách khoa tri th?c;""Khoa hoch chung""","Hà N?i : V?n hóa thông tin, 2001",Vb 5202/92
70 n?m ??ng C?ng s?n Vi?t Nam.Years of the comunist party of Vietnam(1930-2000), , , ,"Vi?t Nam;""??ng CS Vi?t Nam"";""1930-2000""","Hà N?i : Thông t?n, 2002","Va 2601/92;""Va 2602/92"";""Va 2603/92"";""Va 2604/92"";""Va 2599/92"";""Va 2600/92"""
T? ?i?n bách khoa Vi?t nam(E-M). 2, , , ,"T? ?i?n Bách khoa;""Ngôn ng?"";""Vi?t Nam""","Hà N?i : T? ?i?n bách khoa, 2002","Va 2606/92;""Va 2607/92"";""Va 2608/92"";""Va 2609/92"";""Va 2611/92"";""Va 2612/92"""
T? ?i?n tri?t h?c / Cung Kim Ti?n, ,"Cung, Kim Ti?n", ,"Tri?t h?c;""Ngôn ng?"";""T? ?i?n tri?t h?c""","Hà N?i : V?n hóa thông tin, 2002","Va 2616/92;""Va 2617/92"""
T?ng quan quy ho?ch phát tri?n kinh t? xã h?i Vi?t Nam. T?p 1,General planning of Vietnam's Socio & Economic development, , ,"Kinh t? h?c;""Kinh t? qu?c dân"";""Vi?t Nam"";""Kinh t? xã h?i"";""T?ng quan quy ho?ch""","Hà N?i : Chính tr? qu?c gia, 2002","VV00011199;""VV00011198"";""VV00011197"""
T?ng quan quy ho?ch phát tri?n kinh t? xã h?i Vi?t Nam. T?p 2,General planning of Vietnam's Socio & Economic development, , ,"Kinh t? h?c;""Kinh t? qu?c dân"";""T?ng quan quy ho?ch"";""Kinh t? xã h?i"";""Vi?t Nam""","Hà N?i : Chính tr? qu?c gia, 2002","VV00011202;""VV00011201"";""VV00011200"""
Chi?n l??c kinh doanh trong n?n kinh t? tri th?c. / Tr?n Xuân Kiên ch? biên, ,"Tr?n, Xuân Kiên", ,"Kinh t? tri th?c;""Chi?n l??c kinh doanh"";""Kinh t? tri th?c""","Hà N?i : Nxb. Hà N?i, 2002","Vc/92 36595;""Vc/92 36596"""
B??c chuy?n sang n?n kinh t? tri th?c ? m?t s? n??c hi?n trên th? gi?i hi?n nay / L?u Ng?c Tr?nh, ,"L?u, Ng?c Tr?nh", ,"Kinh t? tri th?c;""Kinh t? tri th?c""","Hà N?i : Giáo d?c, 2002","Vc/92 36615;""Vc/92 36616"""
M?ng máy tính - công c? m?ng và m?ng k? thu?t / H? T?n M?n t?ng h?p và biên d?ch., ,"H?, T?n M?n", ,"Tin h?c;""M?ng k? thu?t"";""M?ng máy tính"";""Tin h?c"";""Công c? m?ng""","Hà N?i : Th?ng kê, 2002",Vc/92 36642
Trí tu? và phát tri?n trí tu? / Nguy?n V?n Long (d?ch), ,"Nguy?n, V?n Long", ,"Tâm lý;""Phát tri?n trí tu?"";""Tâm lý h?c"";""Trí tu?""","Nxb. H?i phòng, 2000",Vc/92 36660
L?p trình ??i c??ng, , , ,"L?p trình;""Tin h?c"";""L?p trình ??i c??ng""","Hà N?i : Lao ??ng xã h?i, 2000","Va/92 2721;""Va/92 2722"";""Va/92 2723"";""Va/92 2729"";""Va/92 2727"""
"Khoa h?c và công ngh? th? gi?i. Kinh nghi?m và ??nh h??ng chi?n l??c / T? Bá H?ng, Phùng Minh Lai, ..", ,"T?, Bá H?ng", ,"Khoa h?c;""??nh h??ng chi?n l??c"";""Công ngh?"";""Kinh nghi?m""","Hà N?i : T?p chí C?ng s?n, 2002","Vb/92 5252;""Vb/92 5256"""
"Lý thuy?t xác su?t và th?ng kê toán / Nguy?n Cao V?n, Tr?n Thái Ninh", ,"Nguy?n, Cao V?n","Tr?n, Thái Ninh","Toán h?c;""Lý thuy?t xác su?t"";""Th?ng kê toán"";""Toán h?c""","Hà N?i : Giáo d?c, 2002","Vc/92 35124;""Vc/92 35125"""
"Giáo trình mô hình toán kinh t? / Nguy?n Quang Dong, Ngô V?n Th?", ,"Nguy?n, Quang Dong","Ngô, V?n Th?","Toán h?c;""Giáo trình"";""Mô hình toán kinh t?"";""Toán h?c"";""Toán kinh t?""","Hà N?i : Giáo d?c, 2002",Vc/92 35135
Giáo trình qu?n tr? d? án và doanh nghi?p có v?n ??u t? n??c ngoài - FDI T?p 1 / Nguy?n Th? H??ng, ,"Nguy?n, Th? H??ng", ,"Kinh t? doanh nghi?p;""Qu?n tr? d? án"";""FDI"";""V?n ??u t? n??c ngoài""","Hà N?i : Th?ng kê,?HKTQD, 2002",Vc/92 35222
Tìm hi?u Hoa K? cho m?c ?ích kinh doanh (sách tham kh?o), ,Trung tâm nghiên c?u phát tri?n Investconsult., ,"Các n??c;""Kinh doanh"";""M?""","Hà N?i : CTQG, 2002",Vb/92 5364
V?n ki?n ??ng toàn t?p (T19. 1958), ,??ng c?ng s?n Vi?t nam, ,"??ng c?ng s?n Vi?t nam;""V?n ki?n ??ng"";""L?ch s? ??ng""","Hà N?i : CTQG, 2002",Vb/92 5423
V?n ki?n ??ng toàn t?p (T20. 1959), ,??ng c?ng s?n Vi?t nam, ,"??ng c?ng s?n Vi?t nam;""L?ch s? ??ng""","Hà N?i : CTQG, 2002",Vb/92 5431
V?n ki?n ??ng toàn t?p (t21. 1960), ,??ng c?ng s?n Vi?t Nam, ,"??ng c?ng s?n Vi?t nam;""L?ch s? ??ng"";""V?n ki? ??ng""","Hà N?i : CTQG, 2002",Vb/92 5442
Giáo trình Qu?n lý ??i m?i công ngh? / Nguy?n V?n Phúc, ,"Nguy?n, V?n Phúc", ,"Qu?n lý công ngh?;""Giáo trình""","Hà N?i : Th?ng kê, ?HKTQD, 2002","Vc/92 35642;""Vc/92 35643"";""Vc/92 35644"";""Vc/92 35645"";""Vc/92 35646"";""Vc/92 35648"""
Tri?n v?ng kinh t? Nh?t b?n trong th?p niên ??u th? k? XXI / D??ng Phú Hi?p, ,"D??ng, Phú Hi?p", ,"Tri?n v?ng;""Kinh t? Nh?t B?n"";""Th? k? 21"";""Kinh t? th? gi?i""","Hà N?i : Khoa h?c xã h?i, 2001",Vc/92 35842
"Kinh t? các n??c ?ông Nam Á, th?c t? và tri?n v?ng / Ph?m ??c Thành, Tr??ng Duy Hoà", ,"Ph?m, ??c Thành", ,"Kinh t? th? gi?i;""Kinh t? ?ông Nam Á"";""Tri?n v?ng"";""ASEAN"";""Th?c tr?ng""","Hà N?i : Khoa h?c xã h?i, 2002",Vc/92 35854
Tri?t h?c th?c ti?n T?p 1 / Lê Thanh Sinh, ,"Lê, Thanh Sinh", ,"Tri?t h?c;""Tri?t h?c"";""Tri?t h?c th?c ti?n""","Tp. H? Chí Minh, 2002",Vc/92 36018
Ch??ng trình s? c?p lý lu?n chính tr? : H?c ph?n tri?t h?c Mác - LêNin, , , ,"Tri?t h?c;""Lý lu?n chính tr?"";""Ch??ng trình s? c?p"";""Tri?t h?c Mác Lênin"";""Tri?t h?c""","Hà N?i : CTQG, 2002","Vc/92 36089;""Vc/92 36090"";""Vc/92 36093"""
Ch??ng trình s? c?p lý lu?n chính tr? : H?c ph?n Ch? ngh?a xã h?i khoa h?c, , , ,"Ch? ngh?a xã h?i khoa h?c;""Ch? ngh?a xã h?i khoa h?c"";""Lý lu?n chính tr?"";""Ch??ng trình s? c?p""","Hà N?i : CTQG, 2002","Vc/92 36119;""Vc/92 36120"";""Vc/92 36121"";""Vc/92 36122"";""Vc/92 36123"""
"Nh?ng v?n ?? lý lu?n ??t ra t? các v?n ki?n ??i h?i IX c?a ??ng (công trình k? ni?m 40 n?m ngày thành l?p Vi?n tri?t h?c) / Nguy?n Tr?ng Chu?n, ??ng H?u Toàn", ,"Nguy?n, Tr?ng Chu?n", ,"Tri?t h?c;""??ng CS Vi?t Nam"";""V?n ki?n ??i h?i 9"";""Lý lu?n"";""Tri?t h?c""","Hà N?i : CTQG, 2002","Vc/92 36207;""Vc/92 36211"""
Nh?t B?n n?m ??u th? k? XXI / Ngô Xuân Bình, ,"Ngô, Xuân Bình", ,"Các n??c;""Kinh t? th? gi?i"";""Th? k? 21"";""Kinh t? Nh?t B?n"";""Nh?t B?n""","Hà N?i : Khoa h?c xã h?i, 2002",Vc/92 36261
"B?ng giá tính thu? hàng nh?p kh?u 2003. (B?ng giá tính thu? hàng nh?p kh?u, v?n b?n m?i v? c? ch? ?i?u hành xu?t nh?p kh?u)", , , ,"Giá c?;""B?ng giá tính thu? hàng nh?p n?m 2003""","Hà N?i : Th?ng kê, 2003","Va/92 2950;""Va/92 2951"";""Va/92 2952"";""Va/92 2953"";""Va/92 2948"";""Va/92 2949"""
Th?i giá Vi?t Nam 2002-2003, , , ,"Giá c?;""Th?i giá Vi?t nam 2002-2003""","Hà N?i : Th?ng kê, 2002","Va/92 2960;""Va/92 2961"";""Va/92 2962"";""Va/92 2963"";""Va/92 2955"";""Va/92 2956"""
V?n ki?n ??ng toàn t?p (1932 -1934). T?p 4, , , ,"??ng c?ng s?n Vi?t nam;""V?n ki?n ??ng""","Hà N?i : Chính tr? qu?c gia, 1999",Vb/92 5463
V?n ki?n ??ng toàn t?p ( 1935 ). T?p 5, , , ,"??ng c?ng s?n Vi?t nam;""V?n ki?n ??ng""","Hà N?i : Chính tr? qu?c gia, 2002",Vb/92 5470
V?n ki?n ??ng toàn t?p (1950). T?p 11, , , ,"??ng c?ng s?n Vi?t nam;""V?n ki?n ??ng""","Hà N?i : Chính tr? qu?c gia, 2001",Vb/92 5483
V?n ki?n ??ng toàn t?p ( 1951). T?p 12, , , ,"??ng c?ng s?n Vi?t nam;""V?n ki?n ??ng""","Hà N?i : Chính tr? qu?c gia, 2001",Vb/92 5493
V?n ki?n ??ng toàn t?p ( 1961 ). T?p 22, , , ,"??ng c?ng s?n Vi?t nam;""V?n ki?n ??ng""","Hà N?i : Chính tr? qu?c gia, 2002",Vb/92 5503
V?n ki?n ??ng toàn t?p ( 1962). T?p 23, , , ,"??ng c?ng s?n Vi?t nam;""V?n ki?n ??ng""","Hà N?i : Chính tr? qu?c gia, 2002",Vb/92 5509
V?n ki?n ??ng toàn t?p ( 1963). T?p 24, , , ,"??ng c?ng s?n Vi?t nam;""L?ch s? ??ng"";""V?n ki?n ??ng"";""1963""","Hà N?i : Chính tr? qu?c gia, 2002",Vb/92 5519
V?n ki?n ??ng toàn t?p ( 1964). T?p 25, , , ,"??ng c?ng s?n Vi?t nam;""L?ch s? ??ng"";""V?n ki?n ??ng"";""1964""","Hà N?i : Chính tr? qu?c gia, 2002",Vb/92 5529
Vi?t nam trong th? k? XX. T?p 3, , , ,"Chính tr? xã h?i;""Chính tr? xã h?i"";""Vi?t nam th? k? 20""","Hà N?i : Chính tr? qu?c gia, 2002","VV00006066;""VV00006065"";""VV00006064"";""VV00006063"";""VV00006062"""
Vi?t nam trong th? k? XX. T?p 4, , , ,"Chính tr? xã h?i;""Chính tr? xã h?i"";""Vi?t nam th? k? 20""","Hà N?i : Chính tr? qu?c gia, 2002","VV00006071;""VV00006070"";""VV00006069"";""VV00006068"";""VV00006067"""
Giáo trình ch? ngh?a xã h?i khoa h?c, , , ,"Giáo trình;""Ch? ngh?a xã h?i khoa h?c""","Hà N?i : Chính tr? qu?c gia, 2002","Vc/92 36888;""Vc/92 36889"";""Vc/92 36890"";""Vc/92 36891"";""Vc/92 36883"";""Vc/92 36885"""
H?i ?áp v? tri?t h?c Mác - Lênin., , , ,"Tri?t h?c;""Tri?t hoc Mác Lenin"";""Tri?t h?c"";""H?i ?áp""","Hà N?i : Chính tr? qu?c gia, 2002","Vc/92 36926;""Vc/92 36928"";""Vc/92 36932"";""Vc/92 36933"";""Vc/92 36934"";""Vc/92 36935"";""Vc/92 36936"";""Vc/92 36937"";""Vc/92 36938"";""Vc/92 36939"";""Vc/92 36918"";""Vc/92 36920"";""Vc/92 36921"""
"Giáo trình tri?t h?c Mác- Lênin ( Dùng trong các tr??ng ??i h?c, cao ??ng)", , , ,"Tri?t h?c;""Tri?t h?c"";""Tri?t h?c MacLênin"";""Giáo trình""","Hà N?i : Chính tr? qu?c gia, 2002","Vc/92 37103;""Vc/92 37104"";""Vc/92 37105"";""Vc/92 37102"""
"Nh?t b?n nh?ng bi?n ??i ch? y?u v? chính tr? trong nh?ng n?m 1990 và tri?n v?ng (Sách tham kh?o) / Nguy?n Thanh Hi?n, Nguy?n Duy D?ng", ,"Nguy?n, Thanh Hi?n","Nguy?n, Duy D?ng","Các n??c;""Chinh tri n??c ngoài"";""Nh?t b?n"";""1990""","Hà N?i : Chính tr? qu?c gia, 2001",Vc/92 37196
"Giáo trình qu?n lý công ngh? / Nguy?n ??ng D?u, Nguy?n Xuân Tài", ,"Nguy?n, ??ng D?u","Nguy?n, Xuân Tài","Khoa h?c và công ngh?;""Giáo trình"";""Qu?n lý công ngh?""","Hà N?i : Th?ng kê, 2002","Vc/92 37300;""Vc/92 37301"";""Vc/92 37302"";""Vc/92 37303"";""Vc/92 37304"";""Vc/92 37292"";""Vc/92 37293"";""GTL 1522"";""GTL 1523"";""GTL 1524"";""GTL 1525"";""GTL 1526"";""GTL 1527"";""GTL1520"";""GTL1521"""
Khoa h?c và công ngh? Vi?t Nam n?m 2001., , , ,"Khoa h?c và công ngh?;""2001"";""khoa h?c công ngh?"";""vi?t Nam""","Hà N?i : Nxb. Hà N?i, 2002","Vb/92 5663;""Vb/92 5664"""
L?ch s? ch? ngh?a Mác. S? hình thành và c? s? c?a ch? ngh?a Mác (Sách tham kh?o) T?p1 / Trang Phúc Linh, ,"Trang, Phúc Linh","Lê, C? L?c, (Ng??i d?ch)","Ch? ngh?a Mác - Lê nin;""L?ch s? Ch? ngh?a Mác"";""Ch? ngh?a Mác Lênin""","Hà N?i : Chính tr? qu?c gia, 2003","Vb/92 5764;""Vb/92 5765"";""Vb/92 5766"";""Vb/92 5767"";""Vb/92 5761"";""Vb/92 5762"";""Vb/92 5763"""
L?ch s? ch? ngh?a Mác. S? phát tri?n ch? ngh?a Mác trong th?i k? ??u c?a ch? ngh?a t? b?n ??c quy?n : Trang Phúc Linh T?p 2, ,"Trang, Phúc Linh","Tr?n, Khang, (ng??i d?ch)","Ch? ngh?a Mác - Lê nin;""Ch? ngh?a T? b?n ??c quy?n"";""L?ch s? Ch? ngh?a Mác"";""Ch? ngh?a Mác Lênin""","Hà N?i : Chính tr? qu?c gia, 2003","Vb/92 5774;""Vb/92 5775"";""Vb/92 5776"";""Vb/92 5777"";""Vb/92 5769"";""Vb/92 5772"";""Vb/92 5773"""
L?ch s? ch? ngh?a Mác. S? phát tri?n ch? ngh?a Mác trong th?i k? th?ng l?i c?a ch? ngh?a xã h?i : Trang Phúc Linh T?p 3, ,"Trang, Phúc Linh", ,"Ch? ngh?a Mác - Lê nin;""Ch? ngh?a Xã h?i"";""L?ch s? Ch? ngh?a Mác"";""Ch? ngh?a Mác Lênin""","Hà N?i : Chính tr? qu?c gia, 2003","Vb/92 5784;""Vb/92 5785"";""Vb/92 5786"";""Vb/92 5780"";""Vb/92 5783"""
L?ch s? ch? ngh?a Mác. S? phát tri?n c?a ch? ngh?a Mác trong th?i k? hi?n nay T?p 4 / Trang Phúc Linh, ,"Trang, Phúc Linh","Lê, C? L?c, (Ng??i d?ch)","Ch? ngh?a Mác - Lê nin;""L?ch s? Ch? ngh?a Mác"";""Th?i k? hi?n nay"";""Ch? ngh?a Mác Lênin""","Hà N?i : Chính tr? qu?c gia, 2003","Vb/92 5794;""Vb/92 5795"";""Vb/92 5796"";""Vb/92 5797"";""Vb/92 5791"";""Vb/92 5792"";""Vb/92 5793"""
H?i th?o khoa h?c Trung Vi?t. Ch? ngh?a xã h?i cái ph? bi?n và cái ??c thù. B?c kinh ngày 13-14 tháng 6 n?m 2000, , , ,Ch? ngh?a xã h?i khoa h?c,"Hà N?i : Chính tr? qu?c gia, 2003","Vb/92 5804;""Vb/92 5805"";""Vb/92 5806"";""Vb/92 5807"""
V?n ki?n ??ng toàn t?p: 1965. T?p 26, , , ,"??ng c?ng s?n Vi?t nam;""V?n ki?n ??ng"";""??ng C?ng s?n"";""1965""","Hà N?i : Chính tr? qu?c gia, 2003","Vb/92 5864;""Vb/92 5865"";""Vb/92 5866"";""Vb/92 5867"";""Vb/92 5860"""
V?n ki?n ??ng toàn t?p: 1966. T?p 27, , , ,"??ng c?ng s?n Vi?t nam;""Vi?t nam"";""V?n kiên ??ng"";""??ng C?ng s?n"";""1966""","Hà N?i : Chính tr? qu?c gia, 2003","Vb/92 5874;""Vb/92 5875"";""Vb/92 5876"";""Vb/92 5877"";""Vb/92 5871"""
T? ?i?n thu?t ng? kinh t? th??ng m?i Anh- Vi?t : English - Vietnamese international trade dictionary of terms / ?? H?u Vinh, ,"??, H?u Vinh", ,"Ngôn ng? - T? ?i?n;""Ngôn ng?"";""Thu?t ng? kinh t? th??ng m?i"";""T? ?i?n Anh Vi?t""","Hà N?i : Th?ng kê, 2003","Vb/92 5895;""Vb/92 5896"";""Vb/92 5894"";""Vb/92 5891"";""Vb/92 5892"""
???ng vào th? k? XXI- nh?ng v?n ?? chi?n l??c và tri?n v?ng c?a n?n kinh t? Nga (Sách tham kh?o), , , ,"Các n??c;""Chi?n l??c"";""Kinh t? th? gi?i"";""Nga"";""Th? k? 21"";""Tri?n v?ng"";""Kinh t? Nga""","Hà N?i : Chính tr? qu?c gia, 2003",Vb/92 5918
Th? gi?i 202 qu?c gia và vùng lãnh th?, , , ,"Các n??c;""202 qu?c gia"";""??a lý"";""Vùng lãnh th?""","Hà N?i : Thông t?n, 2003",Vb/92 5946
K? y?u k?t qu? nghiên c?u chi?n l??c và chính sách khoa h?c và công ngh? n?m 2000, , , ,"Khoa h?c và công ngh?;""Chi?n l??c khoa h?c công ngh? n?m 2000""","Hà N?i : Khoa h?c k? thu?t, 2002","Va/92 3255;""Va/92 3256"";""Va/92 3257"";""Va/92 3258"";""Va/92 3251"";""Va/92 3252"""
T? ?i?n bách khoa vi?t nam : N - S. T?p 3, , , ,"Ngôn ng? - T? ?i?n;""T? ?i?n bách khoa Vi?t nam"";""N-S""","Hà N?i : Khoa h?c xã h?i, 2003","Va/92 3309;""Va/92 3310"";""Va/92 3311"";""Va/92 3304"";""Va/92 3308"""
"T? ?i?n kinh t? qu?c t? Anh - Vi?t / Hoàng V?n Châu, ?? An Chi", ,"Hoàng, V?n Châu","??, An Chi","Ngôn ng? - T? ?i?n;""Ngôn ng?"";""T? ?i?n kinh t?"";""T? ?i?n Anh Vi?t""","Hà N?i : Th?ng kê, 2003","Vb/92 5912;""Vb/92 5913"";""Vb/92 5914"";""Vb/92 5910"";""Vb/92 5911"""
T? ?i?n kinh t? th??ng m?i Vi?t - Anh : A Vietnamese - English dictionary of economics and commerce. / Tr?n V?n Chánh, ,"Tr?n, V?n Chánh", ,"Ngôn ng? - T? ?i?n;""Ngôn ng?"";""T? ?i?n Vi?t Anh"";""T? ?i?n kinh t? th??ng m?i""","Nxb. ?à n?ng, 2001","Vb/92 5903;""Vb/92 5904"";""Vb/92 5905"";""Vb/92 5900"";""Vb/92 5902"""
V? ch? ngh?a xã h?i và con ???ng ?i lên ch? ngh?a xã h?i ? Vi?t nam. / Nguy?n ??c Bình, ,"Nguy?n, ??c Bình", ,"Chính tr? xã h?i;""Chính tr? xã h?i"";""Vi?t nam"";""Ch? ngh?a xã h?i""","Hà N?i : Chính tr? xã h?i, 2003",VV00006084
English for students : Ti?ng Anh cho sinh viên. / V? M?nh T??ng, ,"V?, M?nh T??ng", ,"Ngôn ng? - T? ?i?n;""Ti?ng Anh cho sinh viên"";""Ngôn ng?"";""English for students"";""Ti?ng Anh""","Hà N?i : Th? gi?i, 2003","Vc/92 37612;""Vc/92 37613"""
